empresa,codigoarticulo,codigoparticular,articulo,rubro,costo,preciopublico,marca,superrubro,gruposuperrubro,familia,ult_fechaingreso,color,silueta,sitioparapublicar,porcentajedescuento,web
Emp1,487,893889756-7,Camiseta Técnica Adidas Violet,Running,$139852.54,$139852.54,Adidas,Mujer,General,Q3 24,10/9/2024,Violet,Remera,,,
Emp1,488,301371151-5,Pantalón de Entrenamiento Adidas Aquamarine,Moda,$764276.78,$764276.78,Adidas,Mujer,General,Q4 24,16/12/2024,Aquamarine,Pantalon,,,
Emp1,489,486417048-7,Pantalón de Entrenamiento Nike Red,Moda,$173091.11,$173091.11,Nike,Mujer,General,Q1 24,10/4/2024,Red,Pantalon,,,
Emp1,490,173125252-8,Botines de Fútbol Adidas Yellow,Moda,$823681.41,$823681.41,Adidas,Mujer,General,Q2 24,25/3/2024,Yellow,Calzado,,,
Emp1,491,281778627-0,Zapatillas de Trail Nike Pink,Running,$41877.13,$41877.13,Nike,Mujer,General,Q3 24,25/8/2024,Pink,Calzado,,,
Emp2,492,141901498-6,Zapatillas de Basket Adidas Crimson,Running,$19155.57,$19155.57,Adidas,Mujer,General,Q4 24,26/12/2024,Crimson,Calzado,,49.0,
Emp1,493,088290455-8,Camiseta Técnica Under Armour Maroon,Running,$685262.17,$685262.17,Under Armour,Hombre,General,Q1 24,20/5/2024,Maroon,Remera,,,
Emp2,494,403933815-4,Pantalón Deportivo Nike Khaki,Moda,$68049.04,$68049.04,Nike,Mujer,General,Q2 24,26/3/2024,Khaki,Pantalon,,,
Emp1,495,465058568-6,Jogger Deportivo Adidas Fuscia,Running,$340107.08,$340107.08,Adidas,Hombre,General,Q3 24,5/10/2024,Fuscia,Pantalon,,,
Emp2,496,428049024-4,Pantalón de Entrenamiento Nike Orange,Moda,$417321.67,$417321.67,Nike,Mujer,General,Q4 24,4/5/2024,Orange,Pantalon,,,
Emp2,497,006582699-X,Zapatillas de Trail Adidas Khaki,Moda,$988518.09,$988518.09,Adidas,Mujer,General,Q1 24,27/2/2024,Khaki,Calzado,,23.0,
Emp2,498,928553759-6,Remera de Running Adidas Crimson,Moda,$621938.53,$621938.53,Adidas,Mujer,General,Q2 24,26/9/2024,Crimson,Remera,,,
Emp1,499,067809333-4,Camiseta Técnica Adidas Violet,Moda,$931026.31,$931026.31,Adidas,Mujer,General,Q3 24,15/8/2024,Violet,Remera,,,
Emp2,500,310556853-0,Pantalón de Entrenamiento Adidas Orange,Moda,$792740.58,$792740.58,Adidas,Hombre,General,Q4 24,28/12/2024,Orange,Pantalon,,32.0,
